date,round,home,home_abb,away,away_abb,status,home_ht,home_ft,away_ht,away_ft
2024-12-04T18:00:00+00:00,11,Broberg/Soderhamn BS,BRO,Aby/Tjureda IF,A/T,closed,4,6,0,4
2024-12-04T18:00:00+00:00,11,Hammarby IF/BK,HAM,Edsbyns IF,EDS,closed,1,4,0,1
2024-12-04T18:00:00+00:00,11,IK Sirius BK,SIR,Villa-Lidkoping BK,VIL,closed,2,6,1,3
2024-12-06T18:00:00+00:00,12,Edsbyns IF,EDS,Bollnas GIF,BOL,closed,2,5,1,2
2024-12-06T18:00:00+00:00,12,Sandvikens AIK,SAN,IFK Vanersborg,VAN,closed,1,2,2,8
2024-12-06T18:00:00+00:00,12,Villa-Lidkoping BK,VIL,Gripen Trollhättan BK,GRT,postponed,5,5,0,0
2024-12-07T14:00:00+00:00,12,Frillesaas BK,FRI,Broberg/Soderhamn BS,BRO,closed,0,2,0,3
2024-12-07T15:00:00+00:00,12,Vasteraas SK,VSK,Vetlanda BK,VBK,closed,5,6,3,5
2024-12-07T16:00:00+00:00,12,Ljusdals BK,LJU,IK Sirius BK,SIR,closed,1,1,2,7
2024-12-07T16:00:00+00:00,12,Aby/Tjureda IF,A/T,Hammarby IF/BK,HAM,closed,3,4,2,8
2024-12-11T18:00:00+00:00,13,Broberg/Soderhamn BS,BRO,Vasteraas SK,VSK,closed,4,7,1,3
2024-12-11T18:00:00+00:00,13,Frillesaas BK,FRI,Gripen Trollhättan BK,GRT,closed,1,4,2,5
2024-12-11T18:00:00+00:00,13,Hammarby IF/BK,HAM,Vetlanda BK,VBK,closed,2,3,2,4
2024-12-11T18:00:00+00:00,13,IFK Vanersborg,VAN,Bollnas GIF,BOL,closed,2,3,2,4
2024-12-11T18:00:00+00:00,13,Ljusdals BK,LJU,Sandvikens AIK,SAN,closed,2,4,6,10
2024-12-11T18:00:00+00:00,13,IK Sirius BK,SIR,Aby/Tjureda IF,A/T,closed,5,8,3,3
2024-12-11T18:00:00+00:00,13,Villa-Lidkoping BK,VIL,Edsbyns IF,EDS,closed,6,9,3,6
2024-12-13T18:00:00+00:00,14,Vasteraas SK,VSK,Frillesaas BK,FRI,closed,4,8,2,5
2024-12-13T19:00:00+00:00,14,Aby/Tjureda IF,A/T,Villa-Lidkoping BK,VIL,closed,0,1,6,11
2024-12-14T14:00:00+00:00,14,Edsbyns IF,EDS,Hammarby IF/BK,HAM,closed,1,6,1,3
